Actinomycetaceae;g__Actinomyces
Corynebacteriaceae;g__Corynebacterium
Micrococcaceae;g__Rothia
Coriobacteriaceae;g__Atopobium
Bacteroidaceae;g__Bacteroides
Porphyromonadaceae;g__Paludibacter
Porphyromonadaceae;g__Porphyromonas
Porphyromonadaceae;g__Tannerella
Prevotellaceae;g__Prevotella
Paraprevotellaceae;g__Prevotella
Flavobacteriaceae;g__Capnocytophaga
Gemellaceae;g__Gemella
Carnobacteriaceae;g__Granulicatella
Lactobacillaceae;g__Lactobacillus
Streptococcaceae;g__Streptococcus
Lachnospiraceae;g__Butyrivibrio
Lachnospiraceae;g__Catonella
Lachnospiraceae;g__Moryella
Lachnospiraceae;g__Oribacterium
Peptococcaceae;g__Peptococcus
Peptostreptococcaceae;g__Peptostreptococcus
Veillonellaceae;g__Dialister
Veillonellaceae;g__Megasphaera
Veillonellaceae;g__Selenomonas
Veillonellaceae;g__Veillonella
Mogibacteriaceae;g__Mogibacterium
Tissierellaceae;g__Parvimonas
Erysipelotrichaceae;g__Bulleidia
Fusobacteriaceae;g__Fusobacterium
Leptotrichiaceae;g__Leptotrichia
Burkholderiaceae;g__Lautropia
Neisseriaceae;g__Eikenella
Neisseriaceae;g__Kingella
Neisseriaceae;g__Neisseria
Campylobacteraceae;g__Campylobacter
Cardiobacteriaceae;g__Cardiobacterium
Pasteurellaceae;g__Actinobacillus
Pasteurellaceae;g__Aggregatibacter
Pasteurellaceae;g__Haemophilus
Spirochaetaceae;g__Treponema
Dethiosulfovibrionaceae;g__TG5
Mycoplasmataceae;g__Mycoplasma
Propionibacteriaceae;g__Propionibacterium
Flavobacteriaceae;g__Bergeyella
Aerococcaceae;g__Abiotrophia
Eubacteriaceae;g__Eubacterium
Lachnospiraceae;g__Johnsonella
Fusobacteriaceae;g__Leptotrichia
Rhodocyclaceae;g__Rhodocyclus
