"n1"
"0" "Actinomycetaceae;g__Actinomyces"
"1" "Corynebacteriaceae;g__Corynebacterium"
"2" "Micrococcaceae;g__Rothia"
"3" "Propionibacteriaceae;g__Propionibacterium"
"4" "Coriobacteriaceae;g__Atopobium"
"5" "Porphyromonadaceae;g__Porphyromonas"
"6" "Porphyromonadaceae;g__Tannerella"
"7" "Prevotellaceae;g__Prevotella"
"8" "Flavobacteriaceae;g__Bergeyella"
"9" "Flavobacteriaceae;g__Capnocytophaga"
"10" "Gemellaceae;g__Gemella"
"11" "Aerococcaceae;g__Abiotrophia"
"12" "Carnobacteriaceae;g__Granulicatella"
"13" "Lactobacillaceae;g__Lactobacillus"
"14" "Streptococcaceae;g__Streptococcus"
"15" "Eubacteriaceae;g__Eubacterium"
"16" "Lachnospiraceae;g__Catonella"
"17" "Lachnospiraceae;g__Johnsonella"
"18" "Lachnospiraceae;g__Moryella"
"19" "Lachnospiraceae;g__Oribacterium"
"20" "Veillonellaceae;g__Dialister"
"21" "Veillonellaceae;g__Selenomonas"
"22" "Veillonellaceae;g__Veillonella"
"23" "Fusobacteriaceae;g__Fusobacterium"
"24" "Fusobacteriaceae;g__Leptotrichia"
"25" "Burkholderiaceae;g__Lautropia"
"26" "Neisseriaceae;g__Eikenella"
"27" "Neisseriaceae;g__Kingella"
"28" "Neisseriaceae;g__Neisseria"
"29" "Rhodocyclaceae;g__Rhodocyclus"
"30" "Campylobacteraceae;g__Campylobacter"
"31" "Cardiobacteriaceae;g__Cardiobacterium"
"32" "Pasteurellaceae;g__Actinobacillus"
"33" "Pasteurellaceae;g__Aggregatibacter"
"34" "Pasteurellaceae;g__Haemophilus"
"35" "Spirochaetaceae;g__Treponema"
"36" "Dethiosulfovibrionaceae;g__TG5"
"37" "Erysipelotrichaceae;g__Bulleidia"
"38" "Mycoplasmataceae;g__Mycoplasma"
